編號	案類	發生(現)日期	發生時段
406	住宅竊盜	1040824	19~21
407	住宅竊盜	1040825	10~12
408	住宅竊盜	1040825	16~18
409	住宅竊盜	1040826	19~21
410	住宅竊盜	1040827	13~15
411	住宅竊盜	1040827	16~18
412	住宅竊盜	1040828	07~09
413	住宅竊盜	1040828	13~15
414	住宅竊盜	1040828	13~15
415	住宅竊盜	1040828	22~24
416	住宅竊盜	1040829	01~03
417	住宅竊盜	1040829	07~09
418	住宅竊盜	1040829	13~15
419	住宅竊盜	1040830	07~09
420	住宅竊盜	1040831	04~06
421	住宅竊盜	1040831	10~12
422	住宅竊盜	1040831	10~12
423	住宅竊盜	1040831	13~15
424	住宅竊盜	1040831	16~18
425	住宅竊盜	1040901	22~24
426	住宅竊盜	1040903	10~12
427	住宅竊盜	1040903	13~15
428	住宅竊盜	1040905	19~21
429	住宅竊盜	1040905	19~21
430	住宅竊盜	1040905	19~21
431	住宅竊盜	1040906	01~03
432	住宅竊盜	1040906	13~15
433	住宅竊盜	1040907	13~15
434	住宅竊盜	1040908	10~12
435	住宅竊盜	1040908	10~12
436	住宅竊盜	1040908	22~24
437	住宅竊盜	1040908	22~24
438	住宅竊盜	1040909	13~15
439	住宅竊盜	1040910	10~12
440	住宅竊盜	1040910	19~21
441	住宅竊盜	1040911	07~09
442	住宅竊盜	1040911	10~12
443	住宅竊盜	1040912	07~09
444	住宅竊盜	1040913	04~06
445	住宅竊盜	1040913	10~12
446	住宅竊盜	1040913	19~21
447	住宅竊盜	1040914	04~06
448	住宅竊盜	1040914	10~12
449	住宅竊盜	1040914	19~21
450	住宅竊盜	1040915	10~12
451	住宅竊盜	1040915	16~18
452	住宅竊盜	1040915	19~21
453	住宅竊盜	1040917	01~03
454	住宅竊盜	1040917	19~21
455	住宅竊盜	1040918	04~06
456	住宅竊盜	1040919	01~03
457	住宅竊盜	1040919	16~18
458	住宅竊盜	1040919	22~24
459	住宅竊盜	1040920	01~03
460	住宅竊盜	1040920	10~12
461	住宅竊盜	1040920	19~21
462	住宅竊盜	1040921	01~03
463	住宅竊盜	1040921	04~06
464	住宅竊盜	1040921	13~15
465	住宅竊盜	1040921	13~15
466	住宅竊盜	1040922	10~12
467	住宅竊盜	1040924	10~12
468	住宅竊盜	1040924	19~21
469	住宅竊盜	1040925	22~24
470	住宅竊盜	1040926	10~12
471	住宅竊盜	1040926	10~12
472	住宅竊盜	1040927	19~21
473	住宅竊盜	1040928	10~12
474	住宅竊盜	1040929	04~06
475	住宅竊盜	1040930	10~12
476	住宅竊盜	1040930	10~12
477	住宅竊盜	1040930	10~12
478	住宅竊盜	1040930	22~24
479	住宅竊盜	1041001	22~24
480	住宅竊盜	1041001	22~24
481	住宅竊盜	1041002	07~09
482	住宅竊盜	1041002	16~18
483	住宅竊盜	1041002	19~21
484	住宅竊盜	1041003	07~09
485	住宅竊盜	1041003	07~09
486	住宅竊盜	1041003	10~12
487	住宅竊盜	1041003	22~24
488	住宅竊盜	1041005	07~09
489	住宅竊盜	1041005	07~09
490	住宅竊盜	1041005	22~24
491	住宅竊盜	1041006	01~03
492	住宅竊盜	1041006	10~12
493	住宅竊盜	1041007	01~03
494	住宅竊盜	1041007	13~15
495	住宅竊盜	1041007	13~15
496	住宅竊盜	1041007	13~15
497	住宅竊盜	1041009	19~21
498	住宅竊盜	1041011	16~18
499	住宅竊盜	1041011	22~24
500	住宅竊盜	1041011	22~24
501	住宅竊盜	1041013	07~09
502	住宅竊盜	1041013	07~09
503	住宅竊盜	1041013	13~15
504	住宅竊盜	1041016	10~12
505	住宅竊盜	1041018	04~06
506	住宅竊盜	1041018	07~09
507	住宅竊盜	1041019	01~03
508	住宅竊盜	1041019	13~15
509	住宅竊盜	1041020	01~03
510	住宅竊盜	1041020	07~09
511	住宅竊盜	1041020	07~09
512	住宅竊盜	1041020	13~15
513	住宅竊盜	1041021	07~09
514	住宅竊盜	1041021	19~21
515	住宅竊盜	1041021	22~24
516	住宅竊盜	1041023	07~09
517	住宅竊盜	1041023	13~15
518	住宅竊盜	1041023	16~18
519	住宅竊盜	1041023	16~18
520	住宅竊盜	1041023	16~18
521	住宅竊盜	1041023	19~21
522	住宅竊盜	1041023	19~21
523	住宅竊盜	1041023	19~21
524	住宅竊盜	1041023	19~21
525	住宅竊盜	1041024	07~09
526	住宅竊盜	1041026	10~12
527	住宅竊盜	1041026	19~21
528	住宅竊盜	1041026	19~21
529	住宅竊盜	1041027	10~12
530	住宅竊盜	1041027	22~24
531	住宅竊盜	1041029	07~09
532	住宅竊盜	1041030	10~12
533	住宅竊盜	1041030	19~21
534	住宅竊盜	1041030	19~21
535	住宅竊盜	1041031	19~21
536	住宅竊盜	1041101	07~09
537	住宅竊盜	1041103	22~24
538	住宅竊盜	1041103	22~24
539	住宅竊盜	1041104	10~12
540	住宅竊盜	1041105	10~12
541	住宅竊盜	1041107	04~06
542	住宅竊盜	1041109	16~18
543	住宅竊盜	1041109	16~18
544	住宅竊盜	1041109	22~24
545	住宅竊盜	1041109	22~24
546	住宅竊盜	1041111	10~12
547	住宅竊盜	1041111	13~15
548	住宅竊盜	1041112	19~21
549	住宅竊盜	1041112	19~21
550	住宅竊盜	1041113	10~12
551	住宅竊盜	1041114	22~24
552	住宅竊盜	1041115	16~18
553	住宅竊盜	1041115	19~21
554	住宅竊盜	1041116	01~03
555	住宅竊盜	1041116	07~09
556	住宅竊盜	1041116	13~15
557	住宅竊盜	1041116	13~15
558	住宅竊盜	1041117	01~03
559	住宅竊盜	1041117	10~12
560	住宅竊盜	1041117	19~21
561	住宅竊盜	1041118	13~15
562	住宅竊盜	1041118	22~24
563	住宅竊盜	1041121	10~12
564	住宅竊盜	1041122	04~06
565	住宅竊盜	1041122	19~21
566	住宅竊盜	1041123	07~09
567	住宅竊盜	1041123	13~15
568	住宅竊盜	1041124	07~09
569	住宅竊盜	1041125	01~03
570	住宅竊盜	1041125	22~24
571	住宅竊盜	1041126	16~18
572	住宅竊盜	1041128	10~12
573	住宅竊盜	1041128	19~21
574	住宅竊盜	1041129	10~12
575	住宅竊盜	1041129	10~12
576	住宅竊盜	1041129	19~21
577	住宅竊盜	1041130	10~12
578	住宅竊盜	1041201	07~09
579	住宅竊盜	1041201	10~12
580	住宅竊盜	1041201	22~24
581	住宅竊盜	1041202	07~09
582	住宅竊盜	1041203	04~06
583	住宅竊盜	1041203	04~06
584	住宅竊盜	1041203	10~12
585	住宅竊盜	1041203	10~12
586	住宅竊盜	1041204	10~12
587	住宅竊盜	1041204	10~12
588	住宅竊盜	1041205	22~24
589	住宅竊盜	1041206	07~09
590	住宅竊盜	1041206	16~18
591	住宅竊盜	1041207	19~21
592	住宅竊盜	1041208	07~09
593	住宅竊盜	1041208	16~18
594	住宅竊盜	1041208	22~24
595	住宅竊盜	1041209	07~09
596	住宅竊盜	1041209	13~15
597	住宅竊盜	1041210	16~18
598	住宅竊盜	1041211	07~09
599	住宅竊盜	1041211	19~21
600	住宅竊盜	1041212	04~06
601	住宅竊盜	1041212	04~06
602	住宅竊盜	1041212	10~12
603	住宅竊盜	1041212	10~12
604	住宅竊盜	1041213	22~24
605	住宅竊盜	1041214	16~18
606	住宅竊盜	1041215	07~09
607	住宅竊盜	1041215	22~24
608	住宅竊盜	1041216	10~12
609	住宅竊盜	1041216	13~15
610	住宅竊盜	1041217	13~15
611	住宅竊盜	1041219	07~09
612	住宅竊盜	1041219	22~24
613	住宅竊盜	1041219	22~24
614	住宅竊盜	1041220	10~12
615	住宅竊盜	1041220	10~12
616	住宅竊盜	1041220	10~12
617	住宅竊盜	1041220	16~18
618	住宅竊盜	1041220	19~21
619	住宅竊盜	1041221	10~12
620	住宅竊盜	1041221	19~21
621	住宅竊盜	1041221	22~24
622	住宅竊盜	1041222	04~06
623	住宅竊盜	1041222	07~09
624	住宅竊盜	1041222	07~09
625	住宅竊盜	1041222	07~09
626	住宅竊盜	1041222	10~12
627	住宅竊盜	1041222	10~12
628	住宅竊盜	1041222	10~12
629	住宅竊盜	1041222	13~15
630	住宅竊盜	1041223	01~03
631	住宅竊盜	1041223	07~09
632	住宅竊盜	1041223	16~18
633	住宅竊盜	1041223	19~21
634	住宅竊盜	1041224	10~12
635	住宅竊盜	1041224	13~15
636	住宅竊盜	1041225	16~18
637	住宅竊盜	1041225	16~18
638	住宅竊盜	1041225	19~21
639	住宅竊盜	1041226	10~12
640	住宅竊盜	1041226	22~24
641	住宅竊盜	1041228	04~06
642	住宅竊盜	1041228	13~15
643	住宅竊盜	1041228	16~18
644	住宅竊盜	1041229	16~18
645	住宅竊盜	1041229	22~24
646	住宅竊盜	1041230	04~06
647	住宅竊盜	1041230	04~06
648	住宅竊盜	1041231	13~15
649	住宅竊盜	1041231	22~24
650	住宅竊盜	1050101	01~03
651	住宅竊盜	1050101	19~21
652	住宅竊盜	1050101	22~24
653	住宅竊盜	1050101	22~24
654	住宅竊盜	1050101	22~24
655	住宅竊盜	1050102	10~12
656	住宅竊盜	1050102	16~18
